date,base,quote,rate,diff
2026-04-01,USD,JPY,159.03,
2026-04-02,USD,JPY,159.27,0.24
2026-04-03,USD,JPY,159.51,0.24
2026-04-04,USD,JPY,159.35,-0.16
2026-04-05,USD,JPY,159.29,-0.06
2026-04-06,USD,JPY,159.54,0.25
2026-04-07,USD,JPY,159.85,0.31
2026-04-08,USD,JPY,158.8,-1.05
2026-04-09,USD,JPY,158.89,0.09
2026-04-10,USD,JPY,159.29,0.4
2026-04-11,USD,JPY,159.14,-0.15
2026-04-12,USD,JPY,159.1,-0.04
2026-04-13,USD,JPY,159.71,0.61
2026-04-14,USD,JPY,159.3,-0.41
2026-04-15,USD,JPY,159.11,-0.19
2026-04-16,USD,JPY,159.11,0.0
2026-04-17,USD,JPY,159.17,0.06
2026-04-18,USD,JPY,159.07,-0.1
2026-04-19,USD,JPY,159.11,0.04
2026-04-20,USD,JPY,159.04,-0.07
2026-04-21,USD,JPY,159.17,0.13
2026-04-22,USD,JPY,159.39,0.22
2026-04-23,USD,JPY,159.62,0.23
2026-04-24,USD,JPY,159.73,0.11
2026-04-25,USD,JPY,159.48,-0.25
2026-04-26,USD,JPY,159.43,-0.05
2026-04-27,USD,JPY,159.5,0.07
2026-04-28,USD,JPY,159.58,0.08
2026-04-29,USD,JPY,159.93,0.35
2026-04-30,USD,JPY,158.88,-1.05
