date,base,quote,rate
2026-04-01,USD,JPY,159.03
2026-04-02,USD,JPY,159.27
2026-04-03,USD,JPY,159.51
2026-04-04,USD,JPY,159.35
2026-04-05,USD,JPY,159.29
2026-04-06,USD,JPY,159.54
2026-04-07,USD,JPY,159.85
2026-04-08,USD,JPY,158.8
2026-04-09,USD,JPY,158.89
2026-04-10,USD,JPY,159.29
2026-04-11,USD,JPY,159.14
2026-04-12,USD,JPY,159.1
2026-04-13,USD,JPY,159.71
2026-04-14,USD,JPY,159.3
2026-04-15,USD,JPY,159.11
2026-04-16,USD,JPY,159.11
2026-04-17,USD,JPY,159.17
2026-04-18,USD,JPY,159.07
2026-04-19,USD,JPY,159.11
2026-04-20,USD,JPY,159.04
2026-04-21,USD,JPY,159.17
2026-04-22,USD,JPY,159.39
2026-04-23,USD,JPY,159.62
2026-04-24,USD,JPY,159.73
2026-04-25,USD,JPY,159.48
2026-04-26,USD,JPY,159.43
2026-04-27,USD,JPY,159.5
2026-04-28,USD,JPY,159.58
2026-04-29,USD,JPY,159.93
2026-04-30,USD,JPY,158.88
